UID,NETID,ORCID,FullName,FirstName,LastName,MidName,Email,Phone,Fax,Title
2dec06e9,Sadav,,"Sadav, Manjit S.",Manjit,Sadav,S,Sadav@tamu.edu,,,Professor
c81ef444,mindyGergman,,"Gergman, Mindy E.",Mindy,Gergman,E,mindyGergman@tamu.edu,,,Associate Professor
5c2cef0e,t_Vay,,"Vay, Matilda W.",Matilda,Vay,W,t_Vay@tamu.edu,,,Lecturer
b6f25071,sBach,,"Bach, Susan A.",Susan,Bach,A,sBach@tamu.edu,,,Clinical Associate Professor
613870d1,kRoberts,,"Roberts, Kathryn J.",Kathryn,Roberts,J,kRoberts@tamu.edu,,,Assistant Professor
980e771d,jasenMaldonado,,"Maldonado, Jasen J.",Jasen,Maldonado,J,jasenMaldonado@tamu.edu,,,Assistant Professor
ea52a51f,Sahrana20,,"Sahrana, Krishan C.",Krishan,Sahrana,C,Sahrana20@tamu.edu,,,Visiting Associate Professor
0bcb050f,g-Gurry,,"Gurry, Guy L.",Guy,Gurry,L,g-Gurry@tamu.edu,,,Professor
3c8aa927,mohamed-t-Rahman,,"Rahman, Mohamed T.",Mohamed,Rahman,T,mohamed-t-Rahman@tamu.edu,,,Clinical Assistant Professor
e4fec57c,rDahl,,"Dahl, Ronald A.",Ronald,Dahl,A,rDahl@tamu.edu,,,Professor
f9f641f8,yeran.Sulik,,"Sulik, Yeran M.",Yeran,Sulik,M,yeran.Sulik@tamu.edu,,,Lecturer
de1f2aed,trobert,,"Roberts, Tatyana",Tatyana,Roberts,,trobert@tamu.edu,,,Clinical Associate Professor
6edf97c6,jmWarren,,"Warren, Jonathan",Jonathan,Warren,,jmWarren@tamu.edu,,,Professor
d6f8c320,mJackson,,"Jackson, Michael A.",Michael,Jackson,A,mJackson@tamu.edu,,,Lecturer
c7f9a04d,apederss,,"Pederssen, Adam P.",Adam,Pederssen,P,apederss@tamu.edu,,,Clinical Assistant Professor
0a2d481f,hagenwong,,"wong, Hwagyun",Hwagyun,wong,,hagenwong@tamu.edu,,,Assistant Professor
fed03dd1,johannaha,,"Hahn, Johanna E.",Johanna,Hahn,E,johannaha@tamu.edu,,,Instructional Assistant Professor
d2caf464,j-Preston,,"Preston, John W.",John,Preston,W,j-Preston@tamu.edu,,,Professor
786fc0f3,carmenj,,"Juarez, Carmen L.",Carmen,Juarez,L,carmenj@tamu.edu,,,Assistant Professor
9ed54600,m-Posnik,,"Posnik, Michael P.",Michael,Posnik,P,m-Posnik@tamu.edu,,,Professor
5e728236,gupta,,"Gupta, Akhil",Akhil,Gupta,,gupta@tamu.edu,,,Professor
f53479a0,llMonroe,,"Monroe, Lori L.",Lori,Monroe,L,llMonroe@tamu.edu,,,Associate Professor
6df86023,tanya.Pane,,"Pane, Tanya",Tanya,Pane,,tanya.Pane@tamu.edu,,,Lecturer
9c75f491,p-Strauss,,"Strauss, Peter F.",Peter,Strauss,F,p-Strauss@tamu.edu,,,Professor
7f4e9eb4,bobStagner,,"Stagner, Robert O.",Robert,Stagner,O,bobStagner@tamu.edu,,,Professor
ec810b24,lijenWuo,,"Wuo, Li-Jen",Li-Jen,Wuo,,lijenWuo@tamu.edu,,,Associate Professor
b2c12cd3,shaganBirkke,,"Birkke, Shanna H.",Shanna,Birkke,H,shaganBirkke@tamu.edu,,,Associate Professor
bd6831b8,yTimoshenko,,"Timoshenko, Yaroslav",Yaroslav,Timoshenko,,yTimoshenko@tamu.edu,,,Associate Professor
e3bd8752,Wang,,"Wang, Lei",Lei,Wang,,Wang@tamu.edu,,,Assistant Professor
4ff5edcb,jwoodey,,"Woodey, Joanna R.",Joanna,Woodey,R,jwoodey@tamu.edu,,,Senior Lecturer
8bf8898a,robin-m-Reiner,,"Reiner, Robin M.",Robin,Reiner,M,robin-m-Reiner@tamu.edu,,,Associate Professor
ce238e6e,Muchkin,,"Muchkin, Robert S.",Robert,Muchkin,S,Muchkin@tamu.edu,,,Instructional Assistant Professor
4.33E+12,r-Wurst,,"Wurst, Ralph A.",Ralph,Wurst,A,r-Wurst@tamu.edu,,,Professor
f2751f8b,nessoli,,"Nesson, Liesl S.",Liesl,Nesson,S,nessoli@tamu.edu,,,Senior Lecturer
40f09614,m-Burbanks,,"Burbanks, Micky D.",Micky,Burbanks,D,m-Burbanks@tamu.edu,,,Professor
8da37bea,aYuang,,"Yuang, Anxiao",Anxiao,Yuang,,aYuang@tamu.edu,,,Associate Professor
262ead89,joseph.Ditross,,"Ditross, Joseph J.",Joseph,Ditross,J,Ditross@tamu.edu,,,Professor
543231b1,andreas-Necker,,"Necker, Andreas",Andreas,Necker,,andreas-Necker@tamu.edu,,,Professor
bf813378,jamesdAbbott,,"Abbott, James D.",James,Abbott,D,jamesdAbbott@tamu.edu,,,Assistant Professor
84ce7aef,cGarsson,,"Garsson, Charles W.",Charles,Garsson,W,cGarsson@tamu.edu,,,Professor
42be1339,zmc,,"Zetinos, Zenon",Zenon,Zetinos,,zetinos@tamu.edu,,,Assistant Professor
